STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,83.6,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,83.1,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,83.5,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,83.8,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,82.1,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,84,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,83.5,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,81.6,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,83.6,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,83.2,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,82.7,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,83.4,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,82.7,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2019,,79,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,81.1,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2021,,81.2,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2020,,81.3,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2019,,81.2,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,2022,,85.70232,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,2022,,84.74574,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,2022,,80.39368,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,2022,,85.38296,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,2022,,83.97425,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,1139143,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,980896,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,319762,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,447948,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,1358222,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2021,,4422527,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,4280160,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,4457909,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,78.4,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,82.7,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,83.6,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,83,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,83.2,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,83.4,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,82.1,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,83.7,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,84.1,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,82.3,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83.5,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83.5,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83.2,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83.9,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,78.6,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,79.5,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,83,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,81.47187,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,80.8822,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,81.61074,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,81.67769,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,80.53003,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,2022,,81.15895,,AUS,Australia,A,Normal value,0,Units,1,One
